"RC-PAIN RELIEVERS - PAST YEAR MISUSE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"0 - Did not misuse in the past year","NH","0.004","0.0002","0.004","0.004","0.004","0.0002","0.004","0.005","0.957","0.007","0.941","0.969","1108000","N/A","45000"
"1 - Misused within the past year","NH","0","0","0","0","0.004","0.0007","0.003","0.006","0.043","0.007","0.031","0.059","50000","N/A","8000"
"Overall","NJ","0.028","0.0012","0.026","0.03","0.028","0.0012","0.026","0.03","1","0","N/A","N/A","7583000","N/A","335000"
"0 - Did not misuse in the past year","NJ","0.027","0.0012","0.025","0.029","0.028","0.0012","0.026","0.031","0.966","0.0043","0.956","0.973","7324000","N/A","327000"
"1 - Misused within the past year","NJ","0.001","0.0001","0.001","0.001","0.023","0.003","0.018","0.03","0.034","0.0043","0.027","0.044","259000","N/A","34000"
"Overall","NM","0.006","0.0002","0.006","0.007","0.006","0.0002","0.006","0.007","1","0","N/A","N/A","1725000","N/A","57000"
"0 - Did not misuse in the past year","NM","0.006","0.0002","0.006","0.007","0.006","0.0002","0.006","0.007","0.961","0.005","0.95","0.97","1658000","N/A","56000"
"1 - Misused within the past year","NM","0","0","0","0","0.006","0.0008","0.005","0.008","0.039","0.005","0.03","0.05","67000","N/A","9000"
"Overall","NV","0.009","0.0004","0.008","0.01","0.009","0.0004","0.008","0.01","1","0","N/A","N/A","2476000","N/A","106000"
"0 - Did not misuse in the past year","NV","0.009","0.0004","0.008","0.009","0.009","0.0004","0.008","0.01","0.94","0.006","0.927","0.951","2327000","N/A","104000"
"1 - Misused within the past year","NV","0.001","0.0001","0","0.001","0.013","0.0013","0.011","0.016","0.06","0.006","0.049","0.073","149000","N/A","15000"
"Overall","NY","0.062","0.0015","0.059","0.065","0.062","0.0015","0.059","0.065","1","0","N/A","N/A","16804000","N/A","408000"
"0 - Did not misuse in the past year","NY","0.06","0.0014","0.057","0.063","0.063","0.0015","0.06","0.066","0.968","0.003","0.961","0.973","16262000","N/A","395000"
"1 - Misused within the past year","NY","0.002","0.0002","0.002","0.002","0.048","0.0045","0.04","0.058","0.032","0.003","0.027","0.039","542000","N/A","52000"
"Overall","OH","0.036","0.0008","0.034","0.038","0.036","0.0008","0.034","0.038","1","0","N/A","N/A","9760000","N/A","227000"
"0 - Did not misuse in the past year","OH","0.034","0.0008","0.033","0.036","0.036","0.0008","0.034","0.037","0.95","0.0037","0.943","0.957","9276000","N/A","215000"
"1 - Misused within the past year","OH","0.002","0.0001","0.002","0.002","0.043","0.0034","0.037","0.05","0.05","0.0037","0.043","0.057","484000","N/A","39000"
"Overall","OK","0.012","0.0005","0.011","0.013","0.012","0.0005","0.011","0.013","1","0","N/A","N/A","3204000","N/A","144000"
"0 - Did not misuse in the past year","OK","0.011","0.0005","0.01","0.012","0.012","0.0005","0.011","0.013","0.961","0.0055","0.949","0.971","3080000","N/A","138000"
"1 - Misused within the past year","OK","0","0.0001","0","0.001","0.011","0.0016","0.008","0.015","0.039","0.0055","0.029","0.051","124000","N/A","19000"
"Overall","OR","0.013","0.0005","0.012","0.014","0.013","0.0005","0.012","0.014","1","0","N/A","N/A","3502000","N/A","126000"
"0 - Did not misuse in the past year","OR","0.012","0.0004","0.011","0.013","0.013","0.0005","0.012","0.014","0.941","0.0067","0.927","0.953","3296000","N/A","120000"
"1 - Misused within the past year","OR","0.001","0.0001","0.001","0.001","0.018","0.0022","0.014","0.023","0.059","0.0067","0.047","0.073","206000","N/A","25000"
"Overall","PA","0.04","0.001","0.038","0.042","0.04","0.001","0.038","0.042","1","0","N/A","N/A","10854000","N/A","285000"
"0 - Did not misuse in the past year","PA","0.038","0.001","0.036","0.04","0.04","0.001","0.038","0.042","0.956","0.004","0.948","0.963","10379000","N/A","277000"
"1 - Misused within the past year","PA","0.002","0.0002","0.001","0.002","0.042","0.0039","0.035","0.051","0.044","0.004","0.037","0.052","475000","N/A","45000"
"Overall","RI","0.003","0.0001","0.003","0.004","0.003","0.0001","0.003","0.004","1","0","N/A","N/A","908000","N/A","38000"
"0 - Did not misuse in the past year","RI","0.003","0.0001","0.003","0.003","0.003","0.0001","0.003","0.004","0.953","0.0072","0.936","0.965","865000","N/A","35000"
"1 - Misused within the past year","RI","0","0","0","0","0.004","0.0006","0.003","0.005","0.047","0.0072","0.035","0.064","43000","N/A","7000"
"Overall","SC","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4166000","N/A","205000"
"0 - Did not misuse in the past year","SC","0.015","0.0007","0.013","0.016","0.015","0.0008","0.014","0.017","0.957","0.0051","0.945","0.966","3985000","N/A","197000"
"1 - Misused within the past year","SC","0.001","0.0001","0.001","0.001","0.016","0.002","0.013","0.021","0.043","0.0051","0.034","0.055","181000","N/A","23000"
"Overall","SD","0.003","0.0001","0.002","0.003","0.003","0.0001","0.002","0.003","1","0","N/A","N/A","703000","N/A","29000"
"0 - Did not misuse in the past year","SD","0.002","0.0001","0.002","0.003","0.003","0.0001","0.002","0.003","0.955","0.0076","0.937","0.968","672000","N/A","28000"
"1 - Misused within the past year","SD","0","0","0","0","0.003","0.0005","0.002","0.004","0.045","0.0076","0.032","0.063","32000","N/A","6000"
"Overall","TN","0.021","0.0009","0.019","0.023","0.021","0.0009","0.019","0.023","1","0","N/A","N/A","5587000","N/A","262000"
"0 - Did not misuse in the past year","TN","0.02","0.0009","0.018","0.022","0.021","0.001","0.019","0.023","0.961","0.0047","0.95","0.969","5369000","N/A","262000"
"1 - Misused within the past year","TN","0.001","0.0001","0.001","0.001","0.019","0.0022","0.016","0.024","0.039","0.0047","0.031","0.05","219000","N/A","25000"
"Overall","TX","0.084","0.002","0.08","0.088","0.084","0.002","0.08","0.088","1","0","N/A","N/A","22701000","N/A","581000"
"0 - Did not misuse in the past year","TX","0.08","0.0019","0.077","0.084","0.084","0.002","0.08","0.088","0.96","0.003","0.953","0.965","21785000","N/A","559000"
"1 - Misused within the past year","TX","0.003","0.0003","0.003","0.004","0.081","0.006","0.07","0.094","0.04","0.003","0.035","0.047","915000","N/A","72000"
"Overall","UT","0.009","0.0004","0.008","0.01","0.009","0.0004","0.008","0.01","1","0","N/A","N/A","2429000","N/A","112000"
"0 - Did not misuse in the past year","UT","0.009","0.0004","0.008","0.009","0.009","0.0004","0.008","0.01","0.95","0.0063","0.936","0.961","2307000","N/A","105000"
"1 - Misused within the past year","UT","0","0.0001","0","0.001","0.011","0.0015","0.008","0.014","0.05","0.0063","0.039","0.064","122000","N/A","17000"
"Overall","VA","0.026","0.0009","0.024","0.028","0.026","0.0009","0.024","0.028","1","0","N/A","N/A","6993000","N/A","244000"
"0 - Did not misuse in the past year","VA","0.025","0.0009","0.023","0.027","0.026","0.0009","0.024","0.028","0.964","0.0039","0.956","0.971","6743000","N/A","235000"
"1 - Misused within the past year","VA","0.001","0.0001","0.001","0.001","0.022","0.0026","0.018","0.028","0.036","0.0039","0.029","0.044","250000","N/A","29000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","543000","N/A","21000"
"0 - Did not misuse in the past year","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.961","0.0059","0.948","0.971","522000","N/A","20000"
"1 - Misused within the past year","VT","0","0","0","0","0.002","0.0003","0.001","0.003","0.039","0.0059","0.029","0.052","21000","N/A","3000"
"Overall","WA","0.023","0.0011","0.021","0.025","0.023","0.0011","0.021","0.025","1","0","N/A","N/A","6135000","N/A","307000"
"0 - Did not misuse in the past year","WA","0.021","0.0011","0.019","0.024","0.022","0.0011","0.02","0.025","0.945","0.0077","0.927","0.958","5795000","N/A","302000"
"1 - Misused within the past year","WA","0.001","0.0002","0.001","0.002","0.03","0.0041","0.023","0.039","0.055","0.0077","0.042","0.073","340000","N/A","47000"
"Overall","WI","0.018","0.0008","0.016","0.02","0.018","0.0008","0.016","0.02","1","0","N/A","N/A","4877000","N/A","220000"
"0 - Did not misuse in the past year","WI","0.017","0.0008","0.016","0.019","0.018","0.0008","0.017","0.02","0.969","0.0045","0.958","0.976","4724000","N/A","218000"
"1 - Misused within the past year","WI","0.001","0.0001","0","0.001","0.014","0.0019","0.01","0.018","0.031","0.0045","0.024","0.042","153000","N/A","22000"
"Overall","WV","0.006","0.0002","0.005","0.006","0.006","0.0002","0.005","0.006","1","0","N/A","N/A","1551000","N/A","50000"
"0 - Did not misuse in the past year","WV","0.006","0.0002","0.005","0.006","0.006","0.0002","0.005","0.006","0.964","0.005","0.953","0.973","1496000","N/A","49000"
"1 - Misused within the past year","WV","0","0","0","0","0.005","0.0007","0.004","0.007","0.036","0.005","0.027","0.047","55000","N/A","8000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","479000","N/A","19000"
"0 - Did not misuse in the past year","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.967","0.0053","0.955","0.976","463000","N/A","19000"
"1 - Misused within the past year","WY","0","0","0","0","0.001","0.0002","0.001","0.002","0.033","0.0053","0.024","0.045","16000","N/A","3000"
